ligand,score,output,log
ligand_2,-8.986,docking_p24/resultats/ligand_2_out.pdbqt,docking_p24/logs/ligand_2.log
ligand_72,-8.23,docking_p24/resultats/ligand_72_out.pdbqt,docking_p24/logs/ligand_72.log
ligand_58,-8.126,docking_p24/resultats/ligand_58_out.pdbqt,docking_p24/logs/ligand_58.log
ligand_70,-8.034,docking_p24/resultats/ligand_70_out.pdbqt,docking_p24/logs/ligand_70.log
ligand_71,-7.775,docking_p24/resultats/ligand_71_out.pdbqt,docking_p24/logs/ligand_71.log
ligand_61,-7.693,docking_p24/resultats/ligand_61_out.pdbqt,docking_p24/logs/ligand_61.log
ligand_74,-7.577,docking_p24/resultats/ligand_74_out.pdbqt,docking_p24/logs/ligand_74.log
ligand_87,-7.545,docking_p24/resultats/ligand_87_out.pdbqt,docking_p24/logs/ligand_87.log
ligand_38,-7.434,docking_p24/resultats/ligand_38_out.pdbqt,docking_p24/logs/ligand_38.log
ligand_1,-7.43,docking_p24/resultats/ligand_1_out.pdbqt,docking_p24/logs/ligand_1.log
ligand_79,-7.426,docking_p24/resultats/ligand_79_out.pdbqt,docking_p24/logs/ligand_79.log
ligand_97,-7.395,docking_p24/resultats/ligand_97_out.pdbqt,docking_p24/logs/ligand_97.log
ligand_73,-7.339,docking_p24/resultats/ligand_73_out.pdbqt,docking_p24/logs/ligand_73.log
ligand_92,-7.254,docking_p24/resultats/ligand_92_out.pdbqt,docking_p24/logs/ligand_92.log
ligand_10,-7.204,docking_p24/resultats/ligand_10_out.pdbqt,docking_p24/logs/ligand_10.log
ligand_85,-7.164,docking_p24/resultats/ligand_85_out.pdbqt,docking_p24/logs/ligand_85.log
ligand_33,-7.15,docking_p24/resultats/ligand_33_out.pdbqt,docking_p24/logs/ligand_33.log
ligand_93,-7.123,docking_p24/resultats/ligand_93_out.pdbqt,docking_p24/logs/ligand_93.log
ligand_66,-7.116,docking_p24/resultats/ligand_66_out.pdbqt,docking_p24/logs/ligand_66.log
ligand_62,-7.115,docking_p24/resultats/ligand_62_out.pdbqt,docking_p24/logs/ligand_62.log
ligand_90,-7.099,docking_p24/resultats/ligand_90_out.pdbqt,docking_p24/logs/ligand_90.log
ligand_65,-6.935,docking_p24/resultats/ligand_65_out.pdbqt,docking_p24/logs/ligand_65.log
ligand_8,-6.916,docking_p24/resultats/ligand_8_out.pdbqt,docking_p24/logs/ligand_8.log
ligand_16,-6.906,docking_p24/resultats/ligand_16_out.pdbqt,docking_p24/logs/ligand_16.log
ligand_24,-6.905,docking_p24/resultats/ligand_24_out.pdbqt,docking_p24/logs/ligand_24.log
ligand_60,-6.886,docking_p24/resultats/ligand_60_out.pdbqt,docking_p24/logs/ligand_60.log
ligand_40,-6.881,docking_p24/resultats/ligand_40_out.pdbqt,docking_p24/logs/ligand_40.log
ligand_96,-6.872,docking_p24/resultats/ligand_96_out.pdbqt,docking_p24/logs/ligand_96.log
ligand_68,-6.857,docking_p24/resultats/ligand_68_out.pdbqt,docking_p24/logs/ligand_68.log
ligand_89,-6.818,docking_p24/resultats/ligand_89_out.pdbqt,docking_p24/logs/ligand_89.log
ligand_80,-6.757,docking_p24/resultats/ligand_80_out.pdbqt,docking_p24/logs/ligand_80.log
ligand_99,-6.754,docking_p24/resultats/ligand_99_out.pdbqt,docking_p24/logs/ligand_99.log
ligand_6,-6.74,docking_p24/resultats/ligand_6_out.pdbqt,docking_p24/logs/ligand_6.log
ligand_4,-6.711,docking_p24/resultats/ligand_4_out.pdbqt,docking_p24/logs/ligand_4.log
ligand_26,-6.672,docking_p24/resultats/ligand_26_out.pdbqt,docking_p24/logs/ligand_26.log
ligand_46,-6.67,docking_p24/resultats/ligand_46_out.pdbqt,docking_p24/logs/ligand_46.log
ligand_37,-6.589,docking_p24/resultats/ligand_37_out.pdbqt,docking_p24/logs/ligand_37.log
ligand_11,-6.537,docking_p24/resultats/ligand_11_out.pdbqt,docking_p24/logs/ligand_11.log
ligand_69,-6.507,docking_p24/resultats/ligand_69_out.pdbqt,docking_p24/logs/ligand_69.log
ligand_48,-6.473,docking_p24/resultats/ligand_48_out.pdbqt,docking_p24/logs/ligand_48.log
ligand_91,-6.455,docking_p24/resultats/ligand_91_out.pdbqt,docking_p24/logs/ligand_91.log
