sample_accession	sample_description	experimental_factor	environment_biome	dev_stage	project_name	submission_accession	binning_software	datahub	location_start	marine_region	assembly_software	serotype	environment_feature	last_updated	germline	sample_collection	culture_collection	broad_scale_environmental_context	submission_tool	status	completeness_score	lon	collected_by	size_fraction_lower_threshold	isolate	tax_lineage	host_sex	variety	temperature	ecotype	sample_alias	sampling_campaign	mating_type	tissue_lib	collection_date_start	environmental_sample	sub_species	sex	checklist	contamination_score	specimen_voucher	depth	taxonomic_identity_marker	host_growth_conditions	collection_date	country	ncbi_reporting_standard	keywords	host_gravidity	center_name	identified_by	cell_line	sampling_site	host	tag	related_sample_accession	lat	strain	bio_material	host_body_site	local_environmental_context	scientific_name	assembly_quality	collection_date_end	sample_capture_status	sample_title	host_status	tax_id	host_genotype	host_phenotype	study_accession	environmental_medium	cultivar	target_gene	submitted_host_sex	surveillance_target	altitude	host_scientific_name	description	accession	secondary_sample_accession	environment_material	host_tax_id	sampling_platform	sample_material	taxonomic_classification	location_end	protocol_label	cell_type	elevation	salinity	sequencing_method	disease	first_public	broker_name	sub_strain	size_fraction_upper_threshold	ph	serovar	investigation_type	location	tissue_type	age	isolation_source
SAMEA2567482	These data have been produced as part of The 3000 Rice Genome Project, which is an international effort to resequence a core collection of >3000 rice accessions from 92 countries. With the release of the sequencing data, the project calls for the global rice community to take advantage of this data as a foundation for establishing a global, public rice genetic/genomic database and information platform for advancing rice breeding technology for future rice improvement. Please see the here http://dx.doi.org/10.5524/200001 for further details.													2014-06-02						public						1;131567;2759;33090;35493;131221;3193;58023;78536;58024;3398;1437183;4447;1437197;4734;38820;4479;359160;147367;147380;1648021;4527;4530					IRIS_313-15903								ERC000011											BGI												Oryza sativa				WGS sequence of Rice line IRIS 313-15903		4530			PRJEB13618;PRJEB6180								These data have been produced as part of The 3000 Rice Genome Project, which is an international effort to resequence a core collection of >3000 rice accessions from 92 countries. With the release of the sequencing data, the project calls for the global rice community to take advantage of this data as a foundation for establishing a global, public rice genetic/genomic database and information platform for advancing rice breeding technology for future rice improvement. Please see the here http://dx.doi.org/10.5524/200001 for further details.	SAMEA2567482	ERS467760													2014-09-29								leaf		
SAMEA2567483	These data have been produced as part of The 3000 Rice Genome Project, which is an international effort to resequence a core collection of >3000 rice accessions from 92 countries. With the release of the sequencing data, the project calls for the global rice community to take advantage of this data as a foundation for establishing a global, public rice genetic/genomic database and information platform for advancing rice breeding technology for future rice improvement. Please see the here http://dx.doi.org/10.5524/200001 for further details.													2014-06-02						public						1;131567;2759;33090;35493;131221;3193;58023;78536;58024;3398;1437183;4447;1437197;4734;38820;4479;359160;147367;147380;1648021;4527;4530					IRIS_313-15904								ERC000011											BGI												Oryza sativa				WGS sequence of Rice line IRIS 313-15904		4530			PRJEB13618;PRJEB6180								These data have been produced as part of The 3000 Rice Genome Project, which is an international effort to resequence a core collection of >3000 rice accessions from 92 countries. With the release of the sequencing data, the project calls for the global rice community to take advantage of this data as a foundation for establishing a global, public rice genetic/genomic database and information platform for advancing rice breeding technology for future rice improvement. Please see the here http://dx.doi.org/10.5524/200001 for further details.	SAMEA2567483	ERS467761													2014-09-29								leaf		
SAMEA2567484	These data have been produced as part of The 3000 Rice Genome Project, which is an international effort to resequence a core collection of >3000 rice accessions from 92 countries. With the release of the sequencing data, the project calls for the global rice community to take advantage of this data as a foundation for establishing a global, public rice genetic/genomic database and information platform for advancing rice breeding technology for future rice improvement. Please see the here http://dx.doi.org/10.5524/200001 for further details.													2014-06-02						public						1;131567;2759;33090;35493;131221;3193;58023;78536;58024;3398;1437183;4447;1437197;4734;38820;4479;359160;147367;147380;1648021;4527;4530					IRIS_313-15905								ERC000011											BGI												Oryza sativa				WGS sequence of Rice line IRIS 313-15905		4530			PRJEB13618;PRJEB6180								These data have been produced as part of The 3000 Rice Genome Project, which is an international effort to resequence a core collection of >3000 rice accessions from 92 countries. With the release of the sequencing data, the project calls for the global rice community to take advantage of this data as a foundation for establishing a global, public rice genetic/genomic database and information platform for advancing rice breeding technology for future rice improvement. Please see the here http://dx.doi.org/10.5524/200001 for further details.	SAMEA2567484	ERS467762													2014-09-29								leaf		
SAMEA2567486	These data have been produced as part of The 3000 Rice Genome Project, which is an international effort to resequence a core collection of >3000 rice accessions from 92 countries. With the release of the sequencing data, the project calls for the global rice community to take advantage of this data as a foundation for establishing a global, public rice genetic/genomic database and information platform for advancing rice breeding technology for future rice improvement. Please see the here http://dx.doi.org/10.5524/200001 for further details.													2014-06-02						public						1;131567;2759;33090;35493;131221;3193;58023;78536;58024;3398;1437183;4447;1437197;4734;38820;4479;359160;147367;147380;1648021;4527;4530					IRIS_313-15907								ERC000011											BGI												Oryza sativa				WGS sequence of Rice line IRIS 313-15907		4530			PRJEB13618;PRJEB6180								These data have been produced as part of The 3000 Rice Genome Project, which is an international effort to resequence a core collection of >3000 rice accessions from 92 countries. With the release of the sequencing data, the project calls for the global rice community to take advantage of this data as a foundation for establishing a global, public rice genetic/genomic database and information platform for advancing rice breeding technology for future rice improvement. Please see the here http://dx.doi.org/10.5524/200001 for further details.	SAMEA2567486	ERS467764													2014-09-29								leaf		
SAMEA2567492	These data have been produced as part of The 3000 Rice Genome Project, which is an international effort to resequence a core collection of >3000 rice accessions from 92 countries. With the release of the sequencing data, the project calls for the global rice community to take advantage of this data as a foundation for establishing a global, public rice genetic/genomic database and information platform for advancing rice breeding technology for future rice improvement. Please see the here http://dx.doi.org/10.5524/200001 for further details.													2014-06-02						public						1;131567;2759;33090;35493;131221;3193;58023;78536;58024;3398;1437183;4447;1437197;4734;38820;4479;359160;147367;147380;1648021;4527;4530					IRIS_313-8747								ERC000011											BGI												Oryza sativa				WGS sequence of Rice line IRIS 313-8747		4530			PRJEB13618;PRJEB6180								These data have been produced as part of The 3000 Rice Genome Project, which is an international effort to resequence a core collection of >3000 rice accessions from 92 countries. With the release of the sequencing data, the project calls for the global rice community to take advantage of this data as a foundation for establishing a global, public rice genetic/genomic database and information platform for advancing rice breeding technology for future rice improvement. Please see the here http://dx.doi.org/10.5524/200001 for further details.	SAMEA2567492	ERS467770													2014-09-29								leaf		
SAMEA2567493	These data have been produced as part of The 3000 Rice Genome Project, which is an international effort to resequence a core collection of >3000 rice accessions from 92 countries. With the release of the sequencing data, the project calls for the global rice community to take advantage of this data as a foundation for establishing a global, public rice genetic/genomic database and information platform for advancing rice breeding technology for future rice improvement. Please see the here http://dx.doi.org/10.5524/200001 for further details.													2014-06-02						public						1;131567;2759;33090;35493;131221;3193;58023;78536;58024;3398;1437183;4447;1437197;4734;38820;4479;359160;147367;147380;1648021;4527;4530					IRIS_313-8813								ERC000011											BGI												Oryza sativa				WGS sequence of Rice line IRIS 313-8813		4530			PRJEB13618;PRJEB6180								These data have been produced as part of The 3000 Rice Genome Project, which is an international effort to resequence a core collection of >3000 rice accessions from 92 countries. With the release of the sequencing data, the project calls for the global rice community to take advantage of this data as a foundation for establishing a global, public rice genetic/genomic database and information platform for advancing rice breeding technology for future rice improvement. Please see the here http://dx.doi.org/10.5524/200001 for further details.	SAMEA2567493	ERS467771													2014-09-29								leaf		
SAMEA2567500	These data have been produced as part of The 3000 Rice Genome Project, which is an international effort to resequence a core collection of >3000 rice accessions from 92 countries. With the release of the sequencing data, the project calls for the global rice community to take advantage of this data as a foundation for establishing a global, public rice genetic/genomic database and information platform for advancing rice breeding technology for future rice improvement. Please see the here http://dx.doi.org/10.5524/200001 for further details.													2014-06-02						public						1;131567;2759;33090;35493;131221;3193;58023;78536;58024;3398;1437183;4447;1437197;4734;38820;4479;359160;147367;147380;1648021;4527;4530					IRIS_313-8410								ERC000011											BGI												Oryza sativa				WGS sequence of Rice line IRIS 313-8410		4530			PRJEB13618;PRJEB6180								These data have been produced as part of The 3000 Rice Genome Project, which is an international effort to resequence a core collection of >3000 rice accessions from 92 countries. With the release of the sequencing data, the project calls for the global rice community to take advantage of this data as a foundation for establishing a global, public rice genetic/genomic database and information platform for advancing rice breeding technology for future rice improvement. Please see the here http://dx.doi.org/10.5524/200001 for further details.	SAMEA2567500	ERS467778													2014-09-29								leaf		
SAMEA2567501	These data have been produced as part of The 3000 Rice Genome Project, which is an international effort to resequence a core collection of >3000 rice accessions from 92 countries. With the release of the sequencing data, the project calls for the global rice community to take advantage of this data as a foundation for establishing a global, public rice genetic/genomic database and information platform for advancing rice breeding technology for future rice improvement. Please see the here http://dx.doi.org/10.5524/200001 for further details.													2014-06-02						public						1;131567;2759;33090;35493;131221;3193;58023;78536;58024;3398;1437183;4447;1437197;4734;38820;4479;359160;147367;147380;1648021;4527;4530					IRIS_313-8554								ERC000011											BGI												Oryza sativa				WGS sequence of Rice line IRIS 313-8554		4530			PRJEB13618;PRJEB6180								These data have been produced as part of The 3000 Rice Genome Project, which is an international effort to resequence a core collection of >3000 rice accessions from 92 countries. With the release of the sequencing data, the project calls for the global rice community to take advantage of this data as a foundation for establishing a global, public rice genetic/genomic database and information platform for advancing rice breeding technology for future rice improvement. Please see the here http://dx.doi.org/10.5524/200001 for further details.	SAMEA2567501	ERS467779													2014-09-29								leaf		
SAMEA2567504	These data have been produced as part of The 3000 Rice Genome Project, which is an international effort to resequence a core collection of >3000 rice accessions from 92 countries. With the release of the sequencing data, the project calls for the global rice community to take advantage of this data as a foundation for establishing a global, public rice genetic/genomic database and information platform for advancing rice breeding technology for future rice improvement. Please see the here http://dx.doi.org/10.5524/200001 for further details.													2014-06-02						public						1;131567;2759;33090;35493;131221;3193;58023;78536;58024;3398;1437183;4447;1437197;4734;38820;4479;359160;147367;147380;1648021;4527;4530					IRIS_313-9137								ERC000011											BGI												Oryza sativa				WGS sequence of Rice line IRIS 313-9137		4530			PRJEB13618;PRJEB6180								These data have been produced as part of The 3000 Rice Genome Project, which is an international effort to resequence a core collection of >3000 rice accessions from 92 countries. With the release of the sequencing data, the project calls for the global rice community to take advantage of this data as a foundation for establishing a global, public rice genetic/genomic database and information platform for advancing rice breeding technology for future rice improvement. Please see the here http://dx.doi.org/10.5524/200001 for further details.	SAMEA2567504	ERS467782													2014-09-29								leaf		
SAMEA2567509	These data have been produced as part of The 3000 Rice Genome Project, which is an international effort to resequence a core collection of >3000 rice accessions from 92 countries. With the release of the sequencing data, the project calls for the global rice community to take advantage of this data as a foundation for establishing a global, public rice genetic/genomic database and information platform for advancing rice breeding technology for future rice improvement. Please see the here http://dx.doi.org/10.5524/200001 for further details.													2014-06-02						public						1;131567;2759;33090;35493;131221;3193;58023;78536;58024;3398;1437183;4447;1437197;4734;38820;4479;359160;147367;147380;1648021;4527;4530					IRIS_313-9626								ERC000011											BGI												Oryza sativa				WGS sequence of Rice line IRIS 313-9626		4530			PRJEB13618;PRJEB6180								These data have been produced as part of The 3000 Rice Genome Project, which is an international effort to resequence a core collection of >3000 rice accessions from 92 countries. With the release of the sequencing data, the project calls for the global rice community to take advantage of this data as a foundation for establishing a global, public rice genetic/genomic database and information platform for advancing rice breeding technology for future rice improvement. Please see the here http://dx.doi.org/10.5524/200001 for further details.	SAMEA2567509	ERS467787													2014-09-29								leaf		
