sample_accession	COUNTRY	Variety_Group(Tree)	DNA_VARNAME	DNA_Designation	Source	Genetic_Stock_Accno
SAMEA2567482	Brazil	Indica	IAC 165	IAC 165::IRGC 82775-2-1	IRRI	
SAMEA2567483	South Korea	Temperate japonica	JINBUBYEO	JINBUBYEO::G1-1	IRRI	IRGC 126967
SAMEA2567484	Ivory Coast	Tropical japonica	WAB 56-125	WAB 56-125::G1-1	IRRI	IRGC 126969
SAMEA2567486	Uruguay	Tropical japonica	INIA TACUARI	INIA TACUARI::G1-1	IRRI	IRGC 126959
SAMEA2567492	Iran	Basmati/sadri	DOM-ZARD	DOM ZARD::IRGC 12881-1-1	IRRI	IRGC 117466
SAMEA2567493	India	Basmati/sadri	ARC 10497	ARC 10497::IRGC 12485-1-1	IRRI	IRGC 117425
SAMEA2567500	Bangladesh	Aus/boro	JABOR SAIL	JABOR SAIL::IRGC 66831-1-1	IRRI	IRGC 121618
SAMEA2567501	India	Aus/boro	ARC 11959	ARC 11959::IRGC 21780-1-1	IRRI	IRGC 121188
SAMEA2567504	India	Aus/boro	ARC 10100	ARC 10100::IRGC 20709-1-1	IRRI	IRGC 121185
SAMEA2567509	Bangladesh	Aus/boro	KALIA	KALIA::IRGC 34699-1-1	IRRI	IRGC 121005
