Run,ArrayExpress-SPECIES,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,common_name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,ENA-FIRST-PUBLIC (run),ena_first_public,ENA-LAST-UPDATE (run),ena_last_update,Experiment,external_id,INSDC_center_alias,INSDC_center_name,INSDC_first_public,INSDC_last_update,INSDC_status,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,Sample_name,Scientific_Name,SRA Study,Submitter_Id,subject_id,sample_description
ERR11471968,Plasmodium falciparum,RNA-Seq,122,9248195360,PRJEB55754,SAMEA111280388,4503693407,WELLCOME SANGER INSTITUTE,malaria parasite P. falciparum,public,"sra,run.zq,cram","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.us-east1",2023-05-23,2023-05-23,2023-05-23,2023-05-23,ERX10878142,SAMEA111280388,SC,Wellcome Sanger Institute,2023-05-23T15:46:46Z,2023-05-23T15:46:46Z,public,Illumina HiSeq 4000,DN585102I:B2,PAIRED,PolyA,TRANSCRIPTOMIC SINGLE CELL,Plasmodium falciparum,ILLUMINA,2023-09-11T00:00:00Z,2023-09-17T18:29:00Z,2,SAMEA111280388,e8a33616-b3c4-11e9-9468-68b599768938,Plasmodium falciparum,ERP140667,e8a33616-b3c4-11e9-9468-68b599768938,,Day_1_pf_gam_tc_v2
ERR11471969,Plasmodium falciparum,RNA-Seq,122,12430245598,PRJEB55754,SAMEA111280388,6099504812,WELLCOME SANGER INSTITUTE,malaria parasite P. falciparum,public,"sra,run.zq,cram","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.us-east1",2023-05-23,2023-05-23,2023-05-23,2023-05-23,ERX10878143,SAMEA111280388,SC,Wellcome Sanger Institute,2023-05-23T15:46:46Z,2023-05-23T15:46:46Z,public,Illumina HiSeq 4000,DN585102I:B2,PAIRED,PolyA,TRANSCRIPTOMIC SINGLE CELL,Plasmodium falciparum,ILLUMINA,2023-09-11T00:00:00Z,2023-09-16T17:39:00Z,2,SAMEA111280388,e8a33616-b3c4-11e9-9468-68b599768938,Plasmodium falciparum,ERP140667,e8a33616-b3c4-11e9-9468-68b599768938,,Day_1_pf_gam_tc_v2
ERR11471970,Plasmodium falciparum,RNA-Seq,122,11295671218,PRJEB55754,SAMEA111280388,5522095950,WELLCOME SANGER INSTITUTE,malaria parasite P. falciparum,public,"run.zq,sra,cram","s3,ncbi,gs","gs.us-east1,s3.us-east-1,ncbi.public",2023-05-23,2023-05-23,2023-05-23,2023-05-23,ERX10878144,SAMEA111280388,SC,Wellcome Sanger Institute,2023-05-23T15:46:46Z,2023-05-23T15:46:46Z,public,Illumina HiSeq 4000,DN585102I:B2,PAIRED,PolyA,TRANSCRIPTOMIC SINGLE CELL,Plasmodium falciparum,ILLUMINA,2023-09-11T00:00:00Z,2023-10-02T07:02:00Z,1,SAMEA111280388,e8a33616-b3c4-11e9-9468-68b599768938,Plasmodium falciparum,ERP140667,e8a33616-b3c4-11e9-9468-68b599768938,,Day_1_pf_gam_tc_v2
ERR11471971,Plasmodium falciparum,RNA-Seq,122,6613153228,PRJEB55754,SAMEA111280388,3231321838,WELLCOME SANGER INSTITUTE,malaria parasite P. falciparum,public,"sra,cram,run.zq","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.us-east1",2023-05-23,2023-05-23,2023-05-23,2023-05-23,ERX10878145,SAMEA111280388,SC,Wellcome Sanger Institute,2023-05-23T15:46:46Z,2023-05-23T15:46:46Z,public,Illumina HiSeq 4000,DN585102I:B2,PAIRED,PolyA,TRANSCRIPTOMIC SINGLE CELL,Plasmodium falciparum,ILLUMINA,2023-09-11T00:00:00Z,2023-09-16T12:38:00Z,2,SAMEA111280388,e8a33616-b3c4-11e9-9468-68b599768938,Plasmodium falciparum,ERP140667,e8a33616-b3c4-11e9-9468-68b599768938,,Day_1_pf_gam_tc_v2
ERR11471972,Plasmodium falciparum,RNA-Seq,122,9285156846,PRJEB55754,SAMEA111280390,4563205028,WELLCOME SANGER INSTITUTE,malaria parasite P. falciparum,public,"run.zq,cram,sra","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.us-east1",2023-05-23,2023-05-23,2023-05-23,2023-05-23,ERX10878146,SAMEA111280390,SC,Wellcome Sanger Institute,2023-05-23T16:19:27Z,2023-05-23T16:19:27Z,public,Illumina HiSeq 4000,DN585105L:B2,PAIRED,PolyA,TRANSCRIPTOMIC SINGLE CELL,Plasmodium falciparum,ILLUMINA,2023-09-11T00:00:00Z,2023-10-02T07:23:00Z,1,SAMEA111280390,f56360ec-b3c4-11e9-8a5f-68b59976a384,Plasmodium falciparum,ERP140667,f56360ec-b3c4-11e9-8a5f-68b59976a384,4472STDY8057233,
ERR11471973,Plasmodium falciparum,RNA-Seq,122,8029979366,PRJEB55754,SAMEA111280390,3951350318,WELLCOME SANGER INSTITUTE,malaria parasite P. falciparum,public,"run.zq,sra,cram","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.us-east1",2023-05-23,2023-05-23,2023-05-23,2023-05-23,ERX10878147,SAMEA111280390,SC,Wellcome Sanger Institute,2023-05-23T16:19:27Z,2023-05-23T16:19:27Z,public,Illumina HiSeq 4000,DN585105L:B2,PAIRED,PolyA,TRANSCRIPTOMIC SINGLE CELL,Plasmodium falciparum,ILLUMINA,2023-09-11T00:00:00Z,2023-10-02T06:29:00Z,1,SAMEA111280390,f56360ec-b3c4-11e9-8a5f-68b59976a384,Plasmodium falciparum,ERP140667,f56360ec-b3c4-11e9-8a5f-68b59976a384,4472STDY8057233,
ERR11471974,Plasmodium falciparum,RNA-Seq,122,10965844584,PRJEB55754,SAMEA111280390,5395243662,WELLCOME SANGER INSTITUTE,malaria parasite P. falciparum,public,"sra,cram,run.zq","gs,s3,ncbi","gs.us-east1,s3.us-east-1,ncbi.public",2023-05-23,2023-05-23,2023-05-23,2023-05-23,ERX10878148,SAMEA111280390,SC,Wellcome Sanger Institute,2023-05-23T16:19:27Z,2023-05-23T16:19:27Z,public,Illumina HiSeq 4000,DN585105L:B2,PAIRED,PolyA,TRANSCRIPTOMIC SINGLE CELL,Plasmodium falciparum,ILLUMINA,2023-09-11T00:00:00Z,2023-09-17T18:46:00Z,2,SAMEA111280390,f56360ec-b3c4-11e9-8a5f-68b59976a384,Plasmodium falciparum,ERP140667,f56360ec-b3c4-11e9-8a5f-68b59976a384,4472STDY8057233,
ERR11471975,Plasmodium falciparum,RNA-Seq,122,10441270570,PRJEB55754,SAMEA111280390,5149907615,WELLCOME SANGER INSTITUTE,malaria parasite P. falciparum,public,"cram,run.zq,sra","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.us-east1",2023-05-23,2023-05-23,2023-05-23,2023-05-23,ERX10878149,SAMEA111280390,SC,Wellcome Sanger Institute,2023-05-23T16:19:27Z,2023-05-23T16:19:27Z,public,Illumina HiSeq 4000,DN585105L:B2,PAIRED,PolyA,TRANSCRIPTOMIC SINGLE CELL,Plasmodium falciparum,ILLUMINA,2023-09-11T00:00:00Z,2023-10-02T07:35:00Z,1,SAMEA111280390,f56360ec-b3c4-11e9-8a5f-68b59976a384,Plasmodium falciparum,ERP140667,f56360ec-b3c4-11e9-8a5f-68b59976a384,4472STDY8057233,
ERR11471976,Plasmodium falciparum,RNA-Seq,122,8922415466,PRJEB55754,SAMEA111280389,4427490568,WELLCOME SANGER INSTITUTE,malaria parasite P. falciparum,public,"cram,run.zq,sra","s3,gs,ncbi","gs.us-east1,s3.us-east-1,ncbi.public",2023-05-23,2023-05-23,2023-05-23,2023-05-23,ERX10878150,SAMEA111280389,SC,Wellcome Sanger Institute,2023-05-23T16:19:27Z,2023-05-23T16:19:27Z,public,Illumina HiSeq 4000,DN585107N:B2,PAIRED,PolyA,TRANSCRIPTOMIC SINGLE CELL,Plasmodium falciparum,ILLUMINA,2023-09-11T00:00:00Z,2023-10-02T07:27:00Z,1,SAMEA111280389,01c3bc06-b3c5-11e9-9468-68b599768938,Plasmodium falciparum,ERP140667,01c3bc06-b3c5-11e9-9468-68b599768938,4472STDY8057329,
ERR11471977,Plasmodium falciparum,RNA-Seq,122,11196384446,PRJEB55754,SAMEA111280389,5612727708,WELLCOME SANGER INSTITUTE,malaria parasite P. falciparum,public,"sra,cram,run.zq","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.us-east1",2023-05-23,2023-05-23,2023-05-23,2023-05-23,ERX10878151,SAMEA111280389,SC,Wellcome Sanger Institute,2023-05-23T16:19:27Z,2023-05-23T16:19:27Z,public,Illumina HiSeq 4000,DN585107N:B2,PAIRED,PolyA,TRANSCRIPTOMIC SINGLE CELL,Plasmodium falciparum,ILLUMINA,2023-09-11T00:00:00Z,2023-09-16T12:10:00Z,1,SAMEA111280389,01c3bc06-b3c5-11e9-9468-68b599768938,Plasmodium falciparum,ERP140667,01c3bc06-b3c5-11e9-9468-68b599768938,4472STDY8057329,
