Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,isolation_source,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,SRA Study
SRR28266079,AMPLICON,602,73326008,PRJNA1085262,SAMN40298771,Metagenome or environmental,38446132,CENTRAL SOUTH UNIVERSITY,2022-05-09,public,"fastq,run.zq,sra","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.us-east1",SRX23876183,China,Asia,China:Yongzhou city,Illumina MiSeq,Manganese mine surface soil,25.5786 N 111.7367 E,DX1,SINGLE,PCR,METAGENOMIC,tailings metagenome,ILLUMINA,2024-03-07T00:00:00Z,2024-03-07T19:40:00Z,1,DX1_20,SRP494034
SRR28266080,AMPLICON,602,46816336,PRJNA1085262,SAMN40298770,Metagenome or environmental,24089836,CENTRAL SOUTH UNIVERSITY,2022-05-10,public,"fastq,sra,run.zq","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.us-east1",SRX23876182,China,Asia,China:Yongzhou city,Illumina MiSeq,Abandoned site of iron and manganese smelting,27.1883 N 110.4028 E,LF1,SINGLE,PCR,METAGENOMIC,tailings metagenome,ILLUMINA,2024-03-07T00:00:00Z,2024-03-07T19:40:00Z,1,LF1_20,SRP494034
SRR28266081,AMPLICON,602,43091762,PRJNA1085262,SAMN40298769,Metagenome or environmental,21998011,CENTRAL SOUTH UNIVERSITY,2022-05-10,public,"sra,fastq,run.zq","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.us-east1",SRX23876181,China,Asia,China:Shaoyang city,Illumina MiSeq,Abandoned site of iron and manganese mining,27.1883 N 110.4008 E,DK7,SINGLE,PCR,METAGENOMIC,tailings metagenome,ILLUMINA,2024-03-07T00:00:00Z,2024-03-07T19:41:00Z,1,DK7_20,SRP494034
SRR28266082,AMPLICON,602,42879858,PRJNA1085262,SAMN40298768,Metagenome or environmental,22038300,CENTRAL SOUTH UNIVERSITY,2022-05-10,public,"run.zq,sra,fastq","gs,s3,ncbi","gs.us-east1,ncbi.public,s3.us-east-1",SRX23876180,China,Asia,China:Shaoyang city,Illumina MiSeq,Abandoned site of iron and manganese mining,27.1889 N 110.4128 E,DK6,SINGLE,PCR,METAGENOMIC,tailings metagenome,ILLUMINA,2024-03-07T00:00:00Z,2024-03-07T19:40:00Z,1,DK6_20,SRP494034
SRR28266083,AMPLICON,602,31691688,PRJNA1085262,SAMN40298767,Metagenome or environmental,16362458,CENTRAL SOUTH UNIVERSITY,2022-05-10,public,"run.zq,fastq,sra","s3,ncbi,gs","s3.us-east-1,gs.us-east1,ncbi.public",SRX23876179,China,Asia,China:Shaoyang city,Illumina MiSeq,Abandoned site of iron and manganese mining,27.1886 N 110.4033 E,DK4,SINGLE,PCR,METAGENOMIC,tailings metagenome,ILLUMINA,2024-03-07T00:00:00Z,2024-03-07T19:41:00Z,1,DK4_20,SRP494034
SRR28266084,AMPLICON,602,33324914,PRJNA1085262,SAMN40298806,Metagenome or environmental,19134874,CENTRAL SOUTH UNIVERSITY,2022-09-24,public,"fastq,run.zq,sra","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.us-east1",SRX23876178,China,Asia,China:Chenzhou city,Illumina MiSeq,Lead-zinc tailings soil,25.7263 N 113.1864 E,XYW_S4,SINGLE,PCR,METAGENOMIC,tailings metagenome,ILLUMINA,2024-03-07T00:00:00Z,2024-03-07T19:41:00Z,1,XYW_S4_20,SRP494034
SRR28266085,AMPLICON,602,27800962,PRJNA1085262,SAMN40298805,Metagenome or environmental,15610647,CENTRAL SOUTH UNIVERSITY,2022-09-24,public,"sra,fastq,run.zq","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.us-east1",SRX23876177,China,Asia,China:Chenzhou city,Illumina MiSeq,Lead-zinc tailings soil,25.7271 N 113.1664 E,XYW_S3,SINGLE,PCR,METAGENOMIC,tailings metagenome,ILLUMINA,2024-03-07T00:00:00Z,2024-03-07T19:40:00Z,1,XYW_S3_20,SRP494034
SRR28266086,AMPLICON,602,126917252,PRJNA1085262,SAMN40298804,Metagenome or environmental,69286930,CENTRAL SOUTH UNIVERSITY,2022-09-24,public,"sra,fastq,run.zq","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.us-east1",SRX23876176,China,Asia,China:Chenzhou city,Illumina MiSeq,Lead-zinc tailings soil,25.7283 N 113.1758 E,XYW_S2,SINGLE,PCR,METAGENOMIC,tailings metagenome,ILLUMINA,2024-03-07T00:00:00Z,2024-03-07T19:40:00Z,1,XYW_S2_20,SRP494034
SRR28266087,AMPLICON,602,37471490,PRJNA1085262,SAMN40298803,Metagenome or environmental,21664073,CENTRAL SOUTH UNIVERSITY,2022-09-24,public,"sra,run.zq,fastq","ncbi,s3,gs","gs.us-east1,s3.us-east-1,ncbi.public",SRX23876175,China,Asia,China:Chenzhou city,Illumina MiSeq,Lead-zinc tailings soil,25.7286 N 113.1756 E,XYW_S1,SINGLE,PCR,METAGENOMIC,tailings metagenome,ILLUMINA,2024-03-07T00:00:00Z,2024-03-07T19:41:00Z,1,XYW_S1_20,SRP494034
SRR28266088,AMPLICON,602,34258616,PRJNA1085262,SAMN40298802,Metagenome or environmental,17735374,CENTRAL SOUTH UNIVERSITY,2022-05-08,public,"sra,run.zq,fastq","ncbi,s3,gs","gs.us-east1,ncbi.public,s3.us-east-1",SRX23876174,China,Asia,China:Yongzhou city,Illumina MiSeq,Tin mine abandoned mining site soil,26.2228 N 112.1583 E,XJD8,SINGLE,PCR,METAGENOMIC,tin mine metagenome,ILLUMINA,2024-03-07T00:00:00Z,2024-03-07T19:40:00Z,1,XJD8_20,SRP494034
