target_id	length	eff_length	est_counts	tpm
PF3D7_0100100.1	6492	6493	108.46	0.807187
PF3D7_0100200.1	996	997	164.402	7.96818
PF3D7_0100300.1	3984	3985	1	0.0121261
PF3D7_0100400.1	1119	1120	167.075	7.20846
PF3D7_0100500.1	112	113	49.7627	21.2801
PF3D7_0100600.1	1080	1081	80.2747	3.5884
PF3D7_0100700.1	204	205	13.9253	3.28246
PF3D7_0100800.1	1035	1036	12.022	0.560746
PF3D7_0100900.1	1053	1054	88.8011	4.07123
PF3D7_0101000.1	1077	1078	17.5575	0.787032
PF3D7_0101100.1	930	931	1760.76	91.3903
PF3D7_0101200.1	693	694	0	0
PF3D7_0101300.1	1232	1233	1349.57	52.8908
PF3D7_0101400.1	828	829	3.26097e-08	1.90082e-09
PF3D7_0101500.1	1647	1648	0	0
PF3D7_0101600.1	1110	1111	120.119	5.22451
PF3D7_0101700.1	1359	1360	11.4097	0.4054
PF3D7_0101800.1	870	871	3.13701	0.174039
PF3D7_0101900.1	1032	1033	1	0.0467787
PF3D7_0102000.1	759	760	0	0
PF3D7_0102100.1	846	847	2112.98	120.548
PF3D7_0102200.1	5820	5821	146907	1219.53
PF3D7_0102300.1	1583	1584	750.931	22.9083
PF3D7_0102400.1	1152	1153	66	2.76607
PF3D7_0102500.1	8166	8167	19753.7	116.878
PF3D7_0102600.1	3407	3408	5993.73	84.9856
PF3D7_0102700.1	1683	1684	2044.58	58.6692
PF3D7_0102800.1	2539	2540	146.448	2.78611
PF3D7_0102900.1	2986	2987	1379.17	22.3117
PF3D7_0103000.1	1766	1767	1706	46.6542
PF3D7_0103100.1	6217	6218	3551.6	27.6008
PF3D7_0103200.1	2303	2304	14108.3	295.897
PF3D7_0103300.1	3571	3572	2540.26	34.3648
PF3D7_0103400.1	5765	5766	55389.6	464.197
PF3D7_0103500.1	6183	6184	1070.12	8.36205
PF3D7_0103600.1	5107	5108	3947.48	37.3437
PF3D7_0103700.1	1624	1625	2530	75.2342
PF3D7_0103800.1	1623	1624	849.429	25.2749
PF3D7_0103900.1	2586	2587	1094.21	20.4386
PF3D7_0104000.1	492	493	1221	119.679
PF3D7_0104100.1	4311	4312	3108.4	34.8342
PF3D7_0104200.1	2616	2617	37733.9	696.749
PF3D7_0104300.1	12443	12444	28275.2	109.798
PF3D7_0104400.1	2897	2898	1908.55	31.8238
PF3D7_0104500.1	1245	1246	17746	688.225
PF3D7_0104600.1	4462	4463	1118	12.105
PF3D7_0104700.1	2136	2137	340	7.68816
PF3D7_0104800.1	2474	2475	1531.02	29.8919
PF3D7_0104900.1	308	309	18	2.8149
PF3D7_0105000.1	330	331	1293	188.764
PF3D7_0105100.1	1202	1203	1094	43.944
PF3D7_0105200.1	2416	2417	7342.77	146.802
PF3D7_0105300.1	1199	1200	5188.04	208.915
PF3D7_0105400.1	1202	1203	15602.7	626.731
PF3D7_0105400.2	402	403	256.933	30.808
PF3D7_0105500.1	1035	1036	1671	77.9408
PF3D7_0105600.1	4083	4084	6101.51	72.1938
PF3D7_0105700.1	10811	10812	7928.3	35.4342
PF3D7_0105800.1	4343	4344	2659.78	29.5872
PF3D7_0105900.1	2683	2684	18661.3	335.976
PF3D7_0106000.1	3512	3513	3708.67	51.0139
PF3D7_0106100.1	1904	1905	2319.9	58.8467
PF3D7_0106200.1	1338	1339	4901	176.869
PF3D7_0106300.1	5469	5470	6280.09	55.4787
PF3D7_0106400.1	926	927	5008	261.056
PF3D7_0106500.1	4654	4655	2716.72	28.2015
PF3D7_0106600.1	900	901	128	6.86489
PF3D7_0106700.1	5281	5282	3022.65	27.6527
PF3D7_0106800.1	1104	1105	2487.09	108.762
PF3D7_0106900.1	2954	2955	6387.37	104.451
PF3D7_0107000.1	1058	1059	2788	127.217
PF3D7_0107100.1	1783	1784	1194.89	32.3655
PF3D7_0107200.1	1303	1304	513	19.0103
PF3D7_0107300.1	1581	1582	214.004	6.53677
PF3D7_0107400.1	1728	1729	1960.64	54.7963
PF3D7_0107500.1	8009	8010	52507.2	316.763
PF3D7_0107600.1	5702	5703	675.203	5.7211
PF3D7_0107700.1	1341	1342	9955.55	358.477
PF3D7_0107800.1	4424	4425	2511.88	27.4305
PF3D7_0107900.1	1043	1044	1137.43	52.647
PF3D7_0108000.1	1354	1355	7033.95	250.847
PF3D7_0108100.1	2238	2239	9988	215.562
PF3D7_0108300.1	9996	9997	15257	73.7476
PF3D7_0108400.1	1800	1801	6775.68	181.797
PF3D7_0108400.2	525	526	1106.23	101.627
PF3D7_0108500.1	3323	3324	9859.31	143.329
PF3D7_0108600.1	2145	2146	53173.7	1197.33
PF3D7_0108700.1	4759	4760	4026.55	40.8765
PF3D7_0108800.1	2103	2104	8237.33	189.186
PF3D7_0108900.1	600	601	3239.75	260.486
PF3D7_0109000.1	2138	2139	10382.9	234.562
PF3D7_0109100.1	3975	3976	2528.17	30.7262
PF3D7_0109200.1	1657	1658	505.682	14.7381
PF3D7_0109300.1	1689	1690	2873.28	82.1559
PF3D7_0109400.1	1672	1673	11420.7	329.871
PF3D7_0109500.1	1298	1299	563.064	20.9458
PF3D7_0109600.1	532	533	987	89.4825
PF3D7_0109700.1	1328	1329	1739.25	63.2391
PF3D7_0109800.1	2315	2316	2342	48.8649
PF3D7_0109850.1	1983	1984	15345	373.743
PF3D7_0109950.1	750	751	2425.1	156.041
PF3D7_0110000.1	1368	1369	1743.98	61.5584
PF3D7_0110100.1	3299	3300	2004.6	29.3537
PF3D7_0110200.1	1298	1299	6915.17	257.242
PF3D7_0110300.1	275	276	0	0
PF3D7_0110400.1	1317	1318	5159.75	189.174
PF3D7_0110500.1	7101	7102	4372.05	29.7477
PF3D7_0110600.1	6149	6150	9880.5	77.634
PF3D7_0110700.1	3926	3927	2637.54	32.4554
PF3D7_0110800.1	2382	2383	650.212	13.185
PF3D7_0110900.1	1216	1217	4988.82	198.087
PF3D7_0111000.1	7049	7050	2707.89	18.5605
PF3D7_0111200.1	618	619	2524	197.037
PF3D7_0111300.1	5291	5292	3614.85	33.008
PF3D7_0111400.1	3190	3191	11280.6	170.826
PF3D7_0111500.1	2150	2151	4323.89	97.1364
PF3D7_0111600.1	1094	1095	283.001	12.4888
PF3D7_0111700.1	1207	1208	182.203	7.28849
PF3D7_0111800.1	4284	4285	1426.16	16.083
PF3D7_0111900.1	323	324	480	71.5887
PF3D7_0112000.1	1421	1422	5153	175.109
PF3D7_0112100.1	492	493	30	2.94051
PF3D7_0112200.1	8128	8129	51958.1	308.862
PF3D7_0112300.1	2149	2150	145.293	3.26554
PF3D7_0112500.1	142	143	3	1.01376
PF3D7_0112700.1	4104	4105	13189.9	155.266
PF3D7_0112800.1	1790	1791	246.848	6.66013
PF3D7_0112900.1	4119	4120	1823.71	21.3898
PF3D7_0113000.1	3449	3450	62833.1	880.072
PF3D7_0113100.1	5242	5243	476.432	4.39106
PF3D7_0113200.1	2777	2778	2477.21	43.0903
PF3D7_0113300.1	2939	2940	508.118	8.35152
PF3D7_0113400.1	1981	1982	933.212	22.7523
PF3D7_0113600.1	5682	5683	512.966	4.36174
PF3D7_0113700.1	2777	2778	11359.7	197.598
PF3D7_0113800.1	9491	9492	4764.11	24.2534
PF3D7_0113900.1	1189	1190	385	15.6337
PF3D7_0114000.1	5628	5629	9554.36	82.0198
PF3D7_0114100.1	1331	1332	410.032	14.8752
PF3D7_0114200.1	1044	1045	158	7.30616
PF3D7_0114300.1	960	961	237	11.9172
PF3D7_0114400.1	1380	1381	15	0.524863
PF3D7_0114500.1	1072	1073	270.317	12.1737
PF3D7_0114600.1	939	940	21	1.07954
PF3D7_0114700.1	972	973	7	0.347643
PF3D7_0114750.1	177	178	0	0
PF3D7_0114800.1	633	634	11	0.838401
PF3D7_0114900.1	636	637	82	6.22046
PF3D7_0115000.1	5778	5779	63.7968	0.533451
PF3D7_0115050.1	146	147	12.8508	4.22438
PF3D7_0115100.1	882	883	212.17	11.6111
PF3D7_0115150.1	606	607	7	0.55726
PF3D7_0115200.1	1107	1108	0	0
PF3D7_0115300.1	1011	1012	2	0.0954988
PF3D7_0115400.1	906	907	37.8787	2.01807
PF3D7_0115500.1	1299	1300	0	0
PF3D7_0115600.1	1140	1141	165.801	7.02183
PF3D7_0115700.1	6612	6613	52.0025	0.379992
PF3D7_0200100.1	5136	5137	61.7542	0.580905
PF3D7_0200200.1	1005	1006	24.5897	1.18114
PF3D7_0200300.1	1323	1324	1.128	0.0411688
PF3D7_0200400.1	915	916	0	0
PF3D7_0200500.1	1113	1114	0	0
PF3D7_0200600.1	1128	1129	20	0.856021
PF3D7_0200700.1	993	994	12.2028	0.593226
PF3D7_0200800.1	1212	1213	0	0
PF3D7_0200900.1	894	895	5.05272	0.272804
PF3D7_0201000.1	939	940	1.05917	0.0544486
PF3D7_0201100.1	213	214	0	0
PF3D7_0201200.1	1071	1072	2.00078	0.0901889
PF3D7_0201300.1	918	919	19	0.999048
PF3D7_0201400.1	471	472	16	1.63805
PF3D7_0201500.1	4369	4370	8803.28	97.3444
PF3D7_0201600.1	2624	2625	1951.63	35.9267
PF3D7_0201700.1	3915	3916	1196.54	14.765
PF3D7_0201800.1	2366	2367	5308	108.363
PF3D7_0201900.1	9758	9759	7463.23	36.9547
PF3D7_0202000.1	4079	4080	67546.8	800.006
PF3D7_0202100.1	3334	3335	8011.07	116.076
PF3D7_0202200.1	2984	2985	612.62	9.91735
PF3D7_0202300.1	1216	1217	384.315	15.2597
PF3D7_0202400.1	6256	6257	22237.1	171.736
PF3D7_0202500.1	1887	1888	74222.5	1899.69
PF3D7_0202600.1	4798	4799	1135.12	11.4298
PF3D7_0202600.2	4023	4024	854.559	10.262
PF3D7_0202700.1	2837	2838	730.161	12.4324
PF3D7_0202800.1	3628	3629	3544.75	47.2005
PF3D7_0202900.1	1244	1245	641.77	24.9091
PF3D7_0203000.1	7247	7248	8067.82	53.7881
PF3D7_0203100.1	8383	8384	12405.4	71.5002
PF3D7_0203200.1	1955	1956	418.115	10.3294
